team,league,AB,h,dbl,trpl,hr,rbi,sh,sf,hbp,bb,bb_int,so,sb,cs,gidp,ci,lob,ptchrs,er,er_team,wp,balk,po,asst,err,pb,dbl_def,trpl_def
ANA,AL,5423,1265,219,31,190,600,25,25,54,449,28,1539,77,27,95,1,1050,652,604,601,64,3,4307,1382,84,10,134,0
ARI,NL,5351,1232,262,24,173,658,31,50,60,531,14,1341,104,29,97,4,1039,708,676,676,51,3,4290,1370,86,13,134,0
ATL,NL,5509,1394,298,11,243,753,1,36,66,470,13,1498,87,31,103,0,1030,680,556,556,55,4,4344,1382,77,7,110,0
BAL,AL,5429,1281,275,25,171,639,12,43,83,476,10,1390,95,31,95,6,1095,703,633,632,47,4,4300,1529,91,5,150,1
BOS,AL,5539,1427,352,12,155,704,12,50,63,478,23,1373,52,20,131,2,1133,738,721,721,60,8,4293,1447,85,6,134,0
CHA,AL,5611,1435,272,9,149,654,16,35,73,388,9,1269,58,10,127,0,1117,711,633,631,64,6,4343,1293,102,15,122,0
CHN,NL,5425,1293,265,31,159,620,19,36,84,507,16,1448,111,37,130,1,1100,690,646,642,53,8,4331,1453,96,12,139,0
CIN,NL,5380,1264,235,18,156,618,12,33,92,452,6,1430,58,33,127,9,1020,736,769,768,58,5,4270,1296,81,9,115,0
CLE,AL,5558,1410,273,31,127,662,22,52,81,450,36,1122,119,27,115,0,1156,669,562,560,49,2,4368,1443,97,2,127,0
COL,NL,5540,1408,280,34,149,669,10,40,61,453,10,1330,45,20,139,1,1113,659,804,802,65,3,4276,1592,100,5,154,0
DET,AL,5378,1240,235,27,110,530,10,44,58,380,8,1413,47,24,108,0,1015,742,637,637,59,2,4259,1404,94,9,137,0
HOU,AL,5409,1341,284,13,214,715,9,42,60,528,18,1179,83,22,118,6,1068,642,465,465,56,6,4336,1290,72,12,122,0
KCA,AL,5437,1327,247,38,138,613,20,44,48,460,7,1287,104,34,101,1,1091,722,742,740,88,6,4248,1499,82,8,153,0
LAN,NL,5526,1418,325,31,212,812,3,53,56,607,22,1374,98,18,85,2,1159,725,451,451,38,3,4354,1351,83,6,120,0
MIA,NL,5395,1241,248,20,144,554,4,36,70,436,6,1429,122,29,120,8,1045,694,618,618,54,3,4312,1460,69,2,143,0
MIL,NL,5417,1271,251,17,219,703,11,37,80,577,25,1464,96,30,117,0,1102,710,615,615,47,4,4338,1419,91,12,122,0
MIN,AL,5476,1356,269,18,178,668,10,46,62,518,11,1353,38,17,133,1,1126,710,636,636,50,4,4311,1307,83,12,119,2
NYA,AL,5422,1308,225,8,254,764,14,41,70,620,36,1391,102,33,121,5,1093,669,533,532,40,5,4355,1473,74,8,102,0
NYN,NL,5489,1422,272,27,171,735,20,44,112,510,25,1217,62,22,122,1,1158,645,573,570,35,2,4316,1359,67,5,128,0
OAK,AL,5314,1147,249,15,137,537,22,33,59,433,7,1389,78,23,109,2,969,692,719,717,62,5,4279,1466,92,3,139,0
PHI,NL,5496,1392,255,29,205,719,6,44,52,478,15,1363,105,28,116,1,1075,678,631,630,47,3,4285,1416,69,5,129,0
PIT,NL,5331,1186,221,29,158,555,19,32,54,476,14,1497,89,32,96,0,1016,666,736,735,62,5,4263,1507,121,7,152,0
SDN,NL,5468,1317,275,18,153,682,17,46,65,574,24,1327,49,22,95,5,1174,649,611,611,54,5,4330,1362,76,13,116,0
SEA,AL,5375,1236,229,19,197,663,9,45,89,596,17,1397,83,27,120,3,1129,698,577,577,45,0,4341,1317,69,4,114,0
SFN,NL,5392,1261,255,18,183,683,6,53,95,571,14,1462,64,16,109,0,1115,738,615,613,53,2,4299,1546,100,7,130,0
SLN,NL,5496,1386,290,21,197,739,5,45,80,537,11,1226,95,25,112,2,1132,628,605,605,43,3,4307,1701,66,5,181,0
TBA,AL,5412,1294,296,17,139,634,7,31,57,500,13,1395,95,37,93,1,1074,734,544,544,54,4,4307,1386,84,9,110,0
TEX,AL,5478,1308,224,20,198,670,10,38,47,456,12,1446,128,41,82,0,1007,694,673,673,66,7,4305,1528,96,11,141,2
TOR,AL,5555,1464,307,12,200,756,8,33,55,500,13,1242,67,35,136,7,1111,746,623,620,29,5,4324,1348,82,2,120,0
WAS,NL,5434,1351,252,20,136,579,20,37,60,442,12,1221,75,31,140,5,1099,750,785,785,59,2,4235,1410,104,7,125,1
