date,game_no,dow,visiting_team,visiting_league,visiting_league_game_no,home_team,home_league,home_league_game_no,visiting_team_score,home_team_score,winning_team
20220407,0,Thu,SDN,NL,1,ARI,NL,1,2,4,ARI
20220407,0,Thu,CIN,NL,1,ATL,NL,1,6,3,CIN
20220407,0,Thu,MIL,NL,1,CHN,NL,1,4,5,CHN
20220407,0,Thu,PIT,NL,1,SLN,NL,1,0,9,SLN
20220407,0,Thu,NYN,NL,1,WAS,NL,1,5,1,NYN
20220407,0,Thu,HOU,AL,1,ANA,AL,1,3,1,HOU
20220407,0,Thu,CLE,AL,1,KCA,AL,1,1,3,KCA
20220408,0,Fri,SDN,NL,2,ARI,NL,2,3,0,SDN
20220408,0,Fri,CIN,NL,2,ATL,NL,2,6,7,ATL
20220408,0,Fri,LAN,NL,1,COL,NL,1,5,3,LAN
20220408,0,Fri,OAK,AL,1,PHI,NL,1,5,9,PHI
20220408,0,Fri,MIA,NL,1,SFN,NL,1,5,6,SFN
20220408,0,Fri,NYN,NL,2,WAS,NL,2,7,3,NYN
20220408,0,Fri,HOU,AL,2,ANA,AL,2,13,6,HOU
20220408,0,Fri,CHA,AL,1,DET,AL,1,4,5,DET
20220408,0,Fri,SEA,AL,1,MIN,AL,1,2,1,SEA
20220408,0,Fri,BOS,AL,1,NYA,AL,1,5,6,NYA
20220408,0,Fri,BAL,AL,1,TBA,AL,1,1,2,TBA
20220408,0,Fri,TEX,AL,1,TOR,AL,1,8,10,TOR
20220409,0,Sat,SDN,NL,3,ARI,NL,3,5,2,SDN
20220409,0,Sat,CIN,NL,3,ATL,NL,3,1,2,ATL
20220409,0,Sat,MIL,NL,2,CHN,NL,2,0,9,CHN
20220409,0,Sat,LAN,NL,2,COL,NL,2,2,3,COL
20220409,0,Sat,OAK,AL,2,PHI,NL,2,2,4,PHI
20220409,0,Sat,MIA,NL,2,SFN,NL,2,2,1,MIA
20220409,0,Sat,PIT,NL,2,SLN,NL,2,2,6,SLN
20220409,0,Sat,NYN,NL,3,WAS,NL,3,5,0,NYN
20220409,0,Sat,HOU,AL,3,ANA,AL,3,0,2,ANA
20220409,0,Sat,CHA,AL,2,DET,AL,2,5,2,CHA
