date,opponent_team,opponent_league,team,league,team_game_no,opponent_score,team_score,win_loss,is_home
20220407,SDN,NL,ARI,NL,1,2,4,1,1
20220407,CIN,NL,ATL,NL,1,6,3,0,1
20220407,MIL,NL,CHN,NL,1,4,5,1,1
20220407,PIT,NL,SLN,NL,1,0,9,1,1
20220407,NYN,NL,WAS,NL,1,5,1,0,1
20220407,HOU,AL,ANA,AL,1,3,1,0,1
20220407,CLE,AL,KCA,AL,1,1,3,1,1
20220408,SDN,NL,ARI,NL,2,3,0,0,1
20220408,CIN,NL,ATL,NL,2,6,7,1,1
20220408,LAN,NL,COL,NL,1,5,3,0,1
20220408,OAK,AL,PHI,NL,1,5,9,1,1
20220408,MIA,NL,SFN,NL,1,5,6,1,1
20220408,NYN,NL,WAS,NL,2,7,3,0,1
20220408,HOU,AL,ANA,AL,2,13,6,0,1
20220408,CHA,AL,DET,AL,1,4,5,1,1
20220408,SEA,AL,MIN,AL,1,2,1,0,1
20220408,BOS,AL,NYA,AL,1,5,6,1,1
20220408,BAL,AL,TBA,AL,1,1,2,1,1
20220408,TEX,AL,TOR,AL,1,8,10,1,1
20220409,SDN,NL,ARI,NL,3,5,2,0,1
20220409,CIN,NL,ATL,NL,3,1,2,1,1
20220409,MIL,NL,CHN,NL,2,0,9,1,1
20220409,LAN,NL,COL,NL,2,2,3,1,1
20220409,OAK,AL,PHI,NL,2,2,4,1,1
20220409,MIA,NL,SFN,NL,2,2,1,0,1
20220409,PIT,NL,SLN,NL,2,2,6,1,1
20220409,NYN,NL,WAS,NL,3,5,0,0,1
20220409,HOU,AL,ANA,AL,3,0,2,1,1
20220409,CHA,AL,DET,AL,2,5,2,0,1
20220409,CLE,AL,KCA,AL,2,0,1,1,1
20220409,SEA,AL,MIN,AL,2,4,3,0,1
20220409,BOS,AL,NYA,AL,2,2,4,1,1
20220409,BAL,AL,TBA,AL,2,3,5,1,1
20220409,TEX,AL,TOR,AL,2,3,4,1,1
20220410,SDN,NL,ARI,NL,4,10,5,0,1
20220410,CIN,NL,ATL,NL,4,6,3,0,1
20220410,MIL,NL,CHN,NL,3,5,4,0,1
20220410,LAN,NL,COL,NL,3,4,9,1,1
20220410,OAK,AL,PHI,NL,3,4,1,0,1
20220410,MIA,NL,SFN,NL,3,2,3,1,1
20220410,PIT,NL,SLN,NL,3,9,4,0,1
20220410,NYN,NL,WAS,NL,4,2,4,1,1
20220410,HOU,AL,ANA,AL,4,4,1,0,1
20220410,CHA,AL,DET,AL,3,10,1,0,1
20220410,CLE,AL,KCA,AL,3,17,3,0,1
20220410,SEA,AL,MIN,AL,3,4,10,1,1
20220410,BOS,AL,NYA,AL,3,4,3,0,1
20220410,BAL,AL,TBA,AL,3,0,8,1,1
20220410,TEX,AL,TOR,AL,3,12,6,0,1
20220411,WAS,NL,ATL,NL,5,11,2,0,1
20220411,NYN,NL,PHI,NL,4,4,5,1,1
20220411,SDN,NL,SFN,NL,4,4,2,0,1
20220411,MIA,NL,ANA,AL,5,2,6,1,1
20220411,MIL,NL,BAL,AL,4,0,2,1,1
20220411,BOS,AL,DET,AL,4,1,3,1,1
20220411,CLE,AL,KCA,AL,4,10,7,0,1
20220411,SEA,AL,MIN,AL,4,0,4,1,1
20220411,TOR,AL,NYA,AL,4,3,0,0,1
20220411,OAK,AL,TBA,AL,4,13,2,0,1
20220411,COL,NL,TEX,AL,4,6,4,0,1
20220412,HOU,AL,ARI,NL,5,2,1,0,1
20220412,WAS,NL,ATL,NL,6,4,16,1,1
20220412,CLE,AL,CIN,NL,5,10,5,0,1
20220412,NYN,NL,PHI,NL,5,2,0,0,1
20220412,CHN,NL,PIT,NL,4,2,1,0,1
20220412,SDN,NL,SFN,NL,5,2,13,1,1
20220412,KCA,AL,SLN,NL,4,5,6,1,1
20220412,MIA,NL,ANA,AL,6,3,4,1,1
20220412,MIL,NL,BAL,AL,5,5,4,0,1
20220412,SEA,AL,CHA,AL,4,2,3,1,1
20220412,BOS,AL,DET,AL,5,5,3,0,1
20220412,LAN,NL,MIN,AL,5,7,2,0,1
20220412,TOR,AL,NYA,AL,5,0,4,1,1
20220412,OAK,AL,TBA,AL,5,8,9,1,1
20220412,COL,NL,TEX,AL,5,4,1,0,1
20220413,HOU,AL,ARI,NL,6,2,3,1,1
20220413,WAS,NL,ATL,NL,7,3,1,0,1
20220413,CLE,AL,CIN,NL,6,7,3,0,1
20220413,NYN,NL,PHI,NL,6,9,6,0,1
20220413,CHN,NL,PIT,NL,5,2,6,1,1
20220413,SDN,NL,SFN,NL,6,1,2,1,1
20220413,MIL,NL,BAL,AL,6,4,2,0,1
20220413,SEA,AL,CHA,AL,5,4,6,1,1
20220413,BOS,AL,DET,AL,6,9,7,0,1
20220413,LAN,NL,MIN,AL,6,7,0,0,1
20220413,TOR,AL,NYA,AL,6,6,4,0,1
20220413,OAK,AL,TBA,AL,6,4,2,0,1
20220414,CHN,NL,COL,NL,6,5,2,0,1
20220414,CIN,NL,LAN,NL,6,3,9,1,1
20220414,PHI,NL,MIA,NL,6,3,4,1,1
20220414,SLN,NL,MIL,NL,7,1,5,1,1
20220414,WAS,NL,PIT,NL,6,4,9,1,1
20220414,ATL,NL,SDN,NL,8,1,12,1,1
20220414,SEA,AL,CHA,AL,6,5,1,0,1
20220414,DET,AL,KCA,AL,6,4,2,0,1
20220414,TOR,AL,NYA,AL,7,0,3,1,1
20220414,OAK,AL,TBA,AL,7,6,3,0,1
20220414,ANA,AL,TEX,AL,6,5,10,1,1
20220415,CHN,NL,COL,NL,7,5,6,1,1
20220415,CIN,NL,LAN,NL,7,1,3,1,1
20220415,PHI,NL,MIA,NL,7,1,7,1,1
20220415,SLN,NL,MIL,NL,8,10,1,0,1
20220415,ARI,NL,NYN,NL,8,3,10,1,1
20220415,WAS,NL,PIT,NL,7,7,2,0,1
20220415,ATL,NL,SDN,NL,9,5,2,0,1
20220415,NYA,AL,BAL,AL,7,1,2,1,1
20220415,MIN,AL,BOS,AL,7,8,4,0,1
20220415,TBA,AL,CHA,AL,7,2,3,1,1
20220415,SFN,NL,CLE,AL,7,4,1,0,1
20220415,DET,AL,KCA,AL,7,2,1,0,1
20220415,HOU,AL,SEA,AL,8,1,11,1,1
20220415,ANA,AL,TEX,AL,7,9,6,0,1
20220415,OAK,AL,TOR,AL,8,1,4,1,1
20220416,CHN,NL,COL,NL,8,6,9,1,1
20220416,CIN,NL,LAN,NL,8,2,5,1,1
20220416,PHI,NL,MIA,NL,8,10,3,0,1
